"","title","artist","year","id","lang"
"170","Hollywood","Shooting Star",1982,"1645846","en"
"171","Baby Step Back","Gordon Lightfoot",1982,"965730","en"
"172","I'll Drink To You","Duke Jupiter",1982,"297338","en"
"173","Work That Body","Diana Ross",1982,"2038362","en"
"174","You Got The Power","War",1982,"1451014","en"
"175","Make Up Your Mind","Aurra",1982,"2308937","en"
"176","Just To Satisfy You","Waylon and Willie",1982,"1809401","en"
"177","If It Ain't One Thing...It's Another","Richard ""Dimples"" Fields",1982,"6753772","en"
"178","All Night With Me","Laura Branigan",1982,"1013437","en"
"179","When It's Over","Loverboy",1982,"1344118","en"
"180","Finally","T.G. Sheppard",1982,"1240260","en"
"181","Without You (Not Another Lonely Night)","Franke and The Knockouts",1982,"2969597","en"
"182","A Night To Remember","Shalamar",1982,"1986040","en"
"183","Teach Me Tonight","Al Jarreau",1982,"793592","en"
"184","If I Could Get You (into my Life)","Gene Cotton",1982,"136643","en"
"185","Right The First Time","Gamma",1982,"3001793","en"
"186","Sleepwalk","Larry Carlton",1982,"7601431","en"
"187","Secret Journey","The Police",1982,"365362","en"
"188","Loving You","Chris Rea",1982,"1439770","en"
"189","I Don't Know Where To Start","Eddie Rabbitt",1982,"987134","en"
"190","Murphy's Law","Cheri",1982,"1634483","en"
"191","Over The Line","Eddie Schwartz",1982,"4510882","en"
"192","Tonight I'm Yours (Don't Hurt Me)","Rod Stewart",1982,"1021467","en"
"193","Mirror, Mirror","Diana Ross",1982,"2038325","en"
"194","Spirits In The Material World","The Police",1982,"129805","en"
"195","Leader Of The Band","Dan Fogelberg",1982,"1900007","en"
"196","Take It Easy On Me","Little River Band",1982,"1448770","en"
"197","Just Can't Win 'em All","Stevie Woods",1982,"2308698","en"
"198","Summer Nights","Survivor",1982,"1379174","en"
"199","When All Is Said And Done","ABBA",1982,"396356","en"
"200","Daddy's Home","Cliff Richard",1982,"1273252","en"
"201","Don't You Want Me","The Human League",1982,"501821","en"
"202","Rosanna","Toto",1982,"485878","en"
"203","Hurts So Good","John Cougar",1982,"381807","en"
"204","Heat Of The Moment","Asia",1982,"450490","en"
"205","Eye Of The Tiger","Survivor",1982,"202978","en"
"206","Let It Whip","Dazz Band",1982,"952522","en"
"207","Love's Been A Little Bit Hard On Me","Juice Newton",1982,"1116544","en"
"208","Ebony And Ivory","Paul McCartney And Stevie Wonder",1982,"387647","en"
"209","Tainted Love","Soft Cell",1982,"384645","en"
"210","Caught Up In You","38 Special",1982,"751458","en"
"211","Only The Lonely","The Motels",1982,"1106857","en"
"212","Hold Me","Fleetwood Mac",1982,"400035","en"
"213","Do I Do","Stevie Wonder",1982,"382562","en"
"214","Any Day Now","Ronnie Milsap",1982,"1194376","en"
"215","Abracadabra","The Steve Miller Band",1982,"149385","en"
"216","Keep The Fire Burnin'","REO Speedwagon",1982,"1754143","en"
